,Unnamed: 0,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
858,858,2014,NISSAN,SENTRA,MID-SIZE,1.8,4.0,M6,2,8.7,6.6,7.8,36,10.632
862,862,2014,NISSAN,VERSA,COMPACT,1.6,4.0,M5,,8.6,6.5,7.7,37,10.498000000000001
864,864,2014,NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6.0,M6,2,15.2,11.9,13.7,21,18.538
872,872,2014,PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6.0,M7,3,12.8,8.9,11.0,26,14.92
896,896,2014,PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8.0,A8,3,15.9,10.9,13.7,21,18.538
902,902,2014,PORSCHE,PANAMERA 4,FULL-SIZE,3.6,6.0,AM7,3,13.1,8.7,11.1,25,15.054
908,908,2014,PORSCHE,PANAMERA TURBO EXECUTIVE,FULL-SIZE,4.8,8.0,AM7,3,15.4,9.8,12.9,22,17.466
918,918,2014,RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,1,19.4,13.6,16.8,17,22.692000000000004
924,924,2014,ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12.0,A8,3,20.7,12.8,17.1,17,23.094000000000005
939,939,2014,SMART,FORTWO COUPE,TWO-SEATER,1.0,3.0,AM5,3,6.9,5.7,6.4,44,8.756
941,941,2014,SRT,VIPER GTS COUPE,TWO-SEATER,8.4,10.0,M6,3,20.0,13.0,16.9,17,22.826
952,952,2014,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4.0,M5,,9.6,7.1,8.5,33,11.57
954,954,2014,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.5,4.0,M6,3,14.2,10.4,12.5,23,16.93
958,958,2014,SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4.0,AV,2,9.9,7.8,9.0,31,12.24
970,970,2014,TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4.0,AV,2,5.5,5.9,5.7,50,7.8180000000000005
975,975,2014,TOYOTA,COROLLA,MID-SIZE,1.8,4.0,M6,2,8.3,6.3,7.4,38,10.096
993,993,2014,TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8.0,AS6,2,19.0,13.9,16.7,17,22.558
1006,1006,2014,TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8.0,AS6,2,16.9,12.8,15.1,19,20.414
1021,1021,2014,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4.0,A6,3,10.3,8.1,9.3,30,12.642000000000001
1022,1022,2014,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4.0,M6,3,10.8,7.6,9.4,30,12.776000000000002
1027,1027,2014,VOLKSWAGEN,CC,COMPACT,2.0,4.0,M6,3,11.6,7.7,9.8,29,13.312000000000001
1051,1051,2014,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4.0,A6,3,11.7,9.5,10.7,26,14.517999999999999
1052,1052,2014,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4.0,M6,3,13.6,9.2,11.6,24,15.724
1053,1053,2014,VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2.0,4.0,A6,3,11.7,9.4,10.7,26,14.517999999999999
